"","itvid","itvRegieParentId","itvTargetId","itvInterventieOptieId","probId","probProbleemOptieId","lgscoreId","lgscoreScore","lgId","casId","tgid","casTargetId","ptid","sclSubjectId","sclId","sclCollectionId"
"1",2838,296,3997,49,53,13,23,5,1,296,11,296,2,3997,296,296
"2",11,717,3462,60,164,9,75,5,4,717,5,717,4,3462,717,717
"3",12,717,3462,108,165,38,76,5,6,717,5,717,4,3462,717,717
"4",16,724,844,1,177,19,86,5,2,724,5,724,4,3534,724,724
"5",17,724,3534,7,178,38,87,5,6,724,5,724,4,3534,724,724
"6",18,725,2698,108,181,38,90,5,6,725,5,725,4,2698,725,725
"7",19,725,2698,7,181,38,90,5,6,725,5,725,4,2698,725,725
"8",24,730,1945,148,184,31,92,5,4,730,10,730,12,1945,730,730
"9",25,730,844,109,188,38,94,5,6,730,10,730,12,1945,730,730
"10",28,733,844,108,190,38,96,5,6,733,5,733,4,3583,733,733
"11",29,733,3583,7,190,38,96,5,6,733,5,733,4,3583,733,733
"12",30,734,3585,7,191,38,97,5,6,734,5,734,4,3585,734,734
"13",32,735,2036,7,195,97,101,5,6,735,5,735,4,2036,735,735
"14",46,746,844,148,199,38,105,5,6,746,5,746,4,1601,746,746
"15",47,746,1601,60,200,9,106,5,4,746,5,746,4,1601,746,746
"16",49,747,844,7,201,38,107,5,6,747,5,747,4,1609,747,747
"17",56,753,844,1,209,22,114,5,2,753,25,753,12,1468,753,753
"18",54,753,1468,108,210,38,115,5,6,753,25,753,12,1468,753,753
"19",61,753,1468,7,210,38,115,5,6,753,25,753,12,1468,753,753
"20",55,753,844,90,211,36,116,5,5,753,25,753,12,1468,753,753
"21",57,753,1468,17,211,36,116,5,5,753,25,753,12,1468,753,753
"22",64,754,35,7,212,38,117,5,6,754,25,754,12,35,754,754
"23",66,755,844,108,215,38,120,5,6,755,5,755,4,1414,755,755
"24",67,8997,1414,197,218,14,122,5,1,8997,11,9022,2,1414,11958,9022
"25",71,757,844,7,219,38,123,5,6,757,5,757,4,1419,757,757
"26",72,760,2126,7,222,38,126,5,6,760,5,760,4,2126,760,760
"27",74,762,639,49,224,13,128,5,1,762,25,762,12,639,762,762
"28",75,764,2211,7,225,38,129,5,6,764,5,764,4,2211,764,764
"29",76,764,2211,108,225,38,129,5,6,764,5,764,4,2211,764,764
"30",79,765,1484,110,226,38,130,5,6,765,5,765,4,1484,765,765
"31",80,766,562,7,227,38,131,5,6,766,5,766,4,562,766,766
"32",4281,771,1903,1,235,19,138,5,2,771,5,771,4,1903,771,771
"33",86,772,2382,16,236,13,139,5,1,772,5,772,4,2382,772,772
"34",87,772,2382,108,237,38,140,5,6,772,5,772,4,2382,772,772
"35",89,775,1639,92,238,12,141,5,5,775,5,775,4,1639,775,775
"36",90,775,1639,7,239,38,142,5,6,775,5,775,4,1639,775,775
"37",91,776,844,7,240,38,143,5,6,776,5,776,4,2942,776,776
